candidate_id,name,experience,skills,summary
1,Candidate_1,3,"React, JS, HTML, CSS, Node","Experienced in Python, SQL, ML, Pandas, TensorFlow"
2,Candidate_2,5,"React, JS, HTML, CSS, Node","Experienced in Java, Spring, Microservices, Docker"
3,Candidate_3,8,"NLP, Deep Learning, PyTorch, ML","Experienced in AWS, Linux, DevOps, Docker, CI/CD"
4,Candidate_4,0,"React, JS, HTML, CSS, Node","Experienced in AWS, Linux, DevOps, Docker, CI/CD"
5,Candidate_5,5,"React, JS, HTML, CSS, Node","Experienced in React, JS, HTML, CSS, Node"
6,Candidate_6,10,"Java, Spring, Microservices, Docker","Experienced in React, JS, HTML, CSS, Node"
7,Candidate_7,3,"NLP, Deep Learning, PyTorch, ML","Experienced in Python, SQL, ML, Pandas, TensorFlow"
8,Candidate_8,1,"NLP, Deep Learning, PyTorch, ML","Experienced in Python, SQL, ML, Pandas, TensorFlow"
9,Candidate_9,5,"React, JS, HTML, CSS, Node","Experienced in React, JS, HTML, CSS, Node"
10,Candidate_10,5,"React, JS, HTML, CSS, Node","Experienced in React, JS, HTML, CSS, Node"
11,Candidate_11,5,"NLP, Deep Learning, PyTorch, ML","Experienced in React, JS, HTML, CSS, Node"
12,Candidate_12,10,"React, JS, HTML, CSS, Node","Experienced in AWS, Linux, DevOps, Docker, CI/CD"
13,Candidate_13,6,"Python, SQL, ML, Pandas, TensorFlow","Experienced in NLP, Deep Learning, PyTorch, ML"
14,Candidate_14,9,"React, JS, HTML, CSS, Node","Experienced in React, JS, HTML, CSS, Node"
15,Candidate_15,3,"AWS, Linux, DevOps, Docker, CI/CD","Experienced in Java, Spring, Microservices, Docker"
16,Candidate_16,0,"Java, Spring, Microservices, Docker","Experienced in React, JS, HTML, CSS, Node"
17,Candidate_17,5,"AWS, Linux, DevOps, Docker, CI/CD","Experienced in NLP, Deep Learning, PyTorch, ML"
18,Candidate_18,2,"Python, SQL, ML, Pandas, TensorFlow","Experienced in Java, Spring, Microservices, Docker"
19,Candidate_19,7,"AWS, Linux, DevOps, Docker, CI/CD","Experienced in Java, Spring, Microservices, Docker"
20,Candidate_20,5,"React, JS, HTML, CSS, Node","Experienced in AWS, Linux, DevOps, Docker, CI/CD"
21,Candidate_21,8,"NLP, Deep Learning, PyTorch, ML","Experienced in Java, Spring, Microservices, Docker"
22,Candidate_22,1,"NLP, Deep Learning, PyTorch, ML","Experienced in Python, SQL, ML, Pandas, TensorFlow"
23,Candidate_23,9,"React, JS, HTML, CSS, Node","Experienced in Python, SQL, ML, Pandas, TensorFlow"
24,Candidate_24,9,"NLP, Deep Learning, PyTorch, ML","Experienced in NLP, Deep Learning, PyTorch, ML"
25,Candidate_25,8,"React, JS, HTML, CSS, Node","Experienced in Java, Spring, Microservices, Docker"
26,Candidate_26,7,"NLP, Deep Learning, PyTorch, ML","Experienced in Python, SQL, ML, Pandas, TensorFlow"
27,Candidate_27,1,"NLP, Deep Learning, PyTorch, ML","Experienced in Java, Spring, Microservices, Docker"
28,Candidate_28,6,"React, JS, HTML, CSS, Node","Experienced in Python, SQL, ML, Pandas, TensorFlow"
29,Candidate_29,0,"Python, SQL, ML, Pandas, TensorFlow","Experienced in Python, SQL, ML, Pandas, TensorFlow"
30,Candidate_30,5,"Python, SQL, ML, Pandas, TensorFlow","Experienced in NLP, Deep Learning, PyTorch, ML"
31,Candidate_31,2,"Python, SQL, ML, Pandas, TensorFlow","Experienced in Java, Spring, Microservices, Docker"
32,Candidate_32,5,"Java, Spring, Microservices, Docker","Experienced in React, JS, HTML, CSS, Node"
33,Candidate_33,9,"React, JS, HTML, CSS, Node","Experienced in Java, Spring, Microservices, Docker"
34,Candidate_34,9,"Python, SQL, ML, Pandas, TensorFlow","Experienced in Python, SQL, ML, Pandas, TensorFlow"
35,Candidate_35,2,"Java, Spring, Microservices, Docker","Experienced in AWS, Linux, DevOps, Docker, CI/CD"
36,Candidate_36,4,"AWS, Linux, DevOps, Docker, CI/CD","Experienced in NLP, Deep Learning, PyTorch, ML"
37,Candidate_37,6,"Java, Spring, Microservices, Docker","Experienced in Python, SQL, ML, Pandas, TensorFlow"
38,Candidate_38,10,"React, JS, HTML, CSS, Node","Experienced in React, JS, HTML, CSS, Node"
