job_id,title,required_experience,required_skills,description
1,ML Engineer,2,"JavaScript, React, HTML, CSS, Node.js","This role requires expertise in Python, Machine Learning, SQL, Scikit-learn, TensorFlow"
2,Data Scientist,5,"JavaScript, React, HTML, CSS, Node.js","This role requires expertise in AWS, Docker, Terraform, CI/CD, Linux"
3,Frontend Developer,1,"AWS, Docker, Terraform, CI/CD, Linux","This role requires expertise in AWS, Docker, Terraform, CI/CD, Linux"
4,ML Engineer,7,"Deep Learning, PyTorch, NLP, Data Pipelines","This role requires expertise in Deep Learning, PyTorch, NLP, Data Pipelines"
5,Frontend Developer,6,"JavaScript, React, HTML, CSS, Node.js","This role requires expertise in Python, Machine Learning, SQL, Scikit-learn, TensorFlow"
6,Software Engineer,1,"Python, Machine Learning, SQL, Scikit-learn, TensorFlow","This role requires expertise in Java, Spring Boot, Microservices, Docker, Kubernetes"
7,Software Engineer,4,"AWS, Docker, Terraform, CI/CD, Linux","This role requires expertise in Python, Machine Learning, SQL, Scikit-learn, TensorFlow"
8,Frontend Developer,1,"AWS, Docker, Terraform, CI/CD, Linux","This role requires expertise in AWS, Docker, Terraform, CI/CD, Linux"
9,ML Engineer,6,"AWS, Docker, Terraform, CI/CD, Linux","This role requires expertise in Deep Learning, PyTorch, NLP, Data Pipelines"
10,Backend Developer,2,"Python, Machine Learning, SQL, Scikit-learn, TensorFlow","This role requires expertise in Python, Machine Learning, SQL, Scikit-learn, TensorFlow"
11,Backend Developer,1,"Python, Machine Learning, SQL, Scikit-learn, TensorFlow","This role requires expertise in JavaScript, React, HTML, CSS, Node.js"
12,DevOps Engineer,1,"Deep Learning, PyTorch, NLP, Data Pipelines","This role requires expertise in AWS, Docker, Terraform, CI/CD, Linux"
13,ML Engineer,3,"Java, Spring Boot, Microservices, Docker, Kubernetes","This role requires expertise in Python, Machine Learning, SQL, Scikit-learn, TensorFlow"
14,Cloud Engineer,3,"Java, Spring Boot, Microservices, Docker, Kubernetes","This role requires expertise in Java, Spring Boot, Microservices, Docker, Kubernetes"
15,ML Engineer,3,"JavaScript, React, HTML, CSS, Node.js","This role requires expertise in AWS, Docker, Terraform, CI/CD, Linux"
16,QA Engineer,3,"JavaScript, React, HTML, CSS, Node.js","This role requires expertise in JavaScript, React, HTML, CSS, Node.js"
17,QA Engineer,7,"JavaScript, React, HTML, CSS, Node.js","This role requires expertise in JavaScript, React, HTML, CSS, Node.js"
18,DevOps Engineer,4,"Deep Learning, PyTorch, NLP, Data Pipelines","This role requires expertise in AWS, Docker, Terraform, CI/CD, Linux"
19,Data Scientist,1,"Python, Machine Learning, SQL, Scikit-learn, TensorFlow","This role requires expertise in Deep Learning, PyTorch, NLP, Data Pipelines"
20,Backend Developer,4,"Java, Spring Boot, Microservices, Docker, Kubernetes","This role requires expertise in Java, Spring Boot, Microservices, Docker, Kubernetes"
21,Cloud Engineer,1,"Java, Spring Boot, Microservices, Docker, Kubernetes","This role requires expertise in Deep Learning, PyTorch, NLP, Data Pipelines"
22,Frontend Developer,5,"AWS, Docker, Terraform, CI/CD, Linux","This role requires expertise in Java, Spring Boot, Microservices, Docker, Kubernetes"
23,QA Engineer,5,"JavaScript, React, HTML, CSS, Node.js","This role requires expertise in Java, Spring Boot, Microservices, Docker, Kubernetes"
24,ML Engineer,1,"Python, Machine Learning, SQL, Scikit-learn, TensorFlow","This role requires expertise in Python, Machine Learning, SQL, Scikit-learn, TensorFlow"
25,Data Scientist,6,"Deep Learning, PyTorch, NLP, Data Pipelines","This role requires expertise in Java, Spring Boot, Microservices, Docker, Kubernetes"
26,Backend Developer,5,"Python, Machine Learning, SQL, Scikit-learn, TensorFlow","This role requires expertise in Java, Spring Boot, Microservices, Docker, Kubernetes"
27,Software Engineer,4,"AWS, Docker, Terraform, CI/CD, Linux","This role requires expertise in Python, Machine Learning, SQL, Scikit-learn, TensorFlow"
28,Software Engineer,1,"Deep Learning, PyTorch, NLP, Data Pipelines","This role requires expertise in Python, Machine Learning, SQL, Scikit-learn, TensorFlow"
29,Software Engineer,6,"JavaScript, React, HTML, CSS, Node.js","This role requires expertise in AWS, Docker, Terraform, CI/CD, Linux"
30,Backend Developer,5,"JavaScript, React, HTML, CSS, Node.js","This role requires expertise in Deep Learning, PyTorch, NLP, Data Pipelines"
31,DevOps Engineer,7,"Python, Machine Learning, SQL, Scikit-learn, TensorFlow","This role requires expertise in AWS, Docker, Terraform, CI/CD, Linux"
32,ML Engineer,6,"Deep Learning, PyTorch, NLP, Data Pipelines","This role requires expertise in Deep Learning, PyTorch, NLP, Data Pipelines"
33,Cloud Engineer,5,"Deep Learning, PyTorch, NLP, Data Pipelines","This role requires expertise in Python, Machine Learning, SQL, Scikit-learn, TensorFlow"
34,Backend Developer,5,"Python, Machine Learning, SQL, Scikit-learn, TensorFlow","This role requires expertise in AWS, Docker, Terraform, CI/CD, Linux"
35,Frontend Developer,4,"JavaScript, React, HTML, CSS, Node.js","This role requires expertise in JavaScript, React, HTML, CSS, Node.js"
36,Data Scientist,7,"Deep Learning, PyTorch, NLP, Data Pipelines","This role requires expertise in Deep Learning, PyTorch, NLP, Data Pipelines"
37,Software Engineer,2,"AWS, Docker, Terraform, CI/CD, Linux","This role requires expertise in Python, Machine Learning, SQL, Scikit-learn, TensorFlow"
38,QA Engineer,5,"JavaScript, React, HTML, CSS, Node.js","This role requires expertise in Python, Machine Learning, SQL, Scikit-learn, TensorFlow"
39,QA Engineer,7,"Deep Learning, PyTorch, NLP, Data Pipelines","This role requires expertise in JavaScript, React, HTML, CSS, Node.js"
40,Software Engineer,4,"Deep Learning, PyTorch, NLP, Data Pipelines","This role requires expertise in Deep Learning, PyTorch, NLP, Data Pipelines"
41,Software Engineer,2,"Java, Spring Boot, Microservices, Docker, Kubernetes","This role requires expertise in AWS, Docker, Terraform, CI/CD, Linux"
42,Software Engineer,6,"Deep Learning, PyTorch, NLP, Data Pipelines","This role requires expertise in Java, Spring Boot, Microservices, Docker, Kubernetes"
43,Frontend Developer,5,"Python, Machine Learning, SQL, Scikit-learn, TensorFlow","This role requires expertise in Deep Learning, PyTorch, NLP, Data Pipelines"
44,Cloud Engineer,4,"JavaScript, React, HTML, CSS, Node.js","This role requires expertise in JavaScript, React, HTML, CSS, Node.js"
45,Frontend Developer,6,"Java, Spring Boot, Microservices, Docker, Kubernetes","This role requires expertise in JavaScript, React, HTML, CSS, Node.js"
46,Frontend Developer,2,"Java, Spring Boot, Microservices, Docker, Kubernetes","This role requires expertise in Deep Learning, PyTorch, NLP, Data Pipelines"
47,QA Engineer,7,"JavaScript, React, HTML, CSS, Node.js","This role requires expertise in AWS, Docker, Terraform, CI/CD, Linux"
48,Software Engineer,5,"AWS, Docker, Terraform, CI/CD, Linux","This role requires expertise in AWS, Docker, Terraform, CI/CD, Linux"
49,Software Engineer,4,"Java, Spring Boot, Microservices, Docker, Kubernetes","This role requires expertise in JavaScript, React, HTML, CSS, Node.js"
50,Frontend Developer,4,"JavaScript, React, HTML, CSS, Node.js","This role requires expertise in AWS, Docker, Terraform, CI/CD, Linux"
